Title,Year,Movie ID,Director,Stars,Votes
Mariachi Gringo,2012,tt1239374,Tom Gustafson,"('Shawn Ashmore', 'Martha Higareda', 'Kate Burton', 'Adriana Barraza')",6.3
Dalam Botol,2011,tt1784394,Khir Rahman,"('Fauziah Ahmad Daud', 'Normah Damanhuri', 'Diana Danielle', 'Jalil Hamid')",6
Underworld: Awakening,2012,tt1496025,Måns Mårlind,"('Björn Stein', 'Kate Beckinsale', 'Michael Ealy', 'India Eisley', 'Stephen Rea')",6.3
Broken Embraces,2009,tt0913425,Pedro Almodóvar,"('Penélope Cruz', 'Lluís Homar', 'Blanca Portillo', 'José Luis Gómez')",7.2
The Measure of a Man,2011,tt1845872,Andrew Waite,"('Elizabeth Waite', 'Jarin Stevens', 'Jennica Schwartzman', 'Jules Hartley', 'Charlie Waite')",6.8
The Secret Society of Fine Arts,2012,tt2333552,Anders Rønnow Klarlund,"('Jana Klinge', 'Christian Blümel', 'Susanne Wuest', 'Daniel Zillmann')",6.9
Thanks for Dying,2009,tt1385998,R.J. McFarlane,"('Robert Alan Beuth', 'Will Schaub', 'Peter Berube', 'Jill Slattery')",6
Devil's Weekend,2012,tt3561490,Cédric Dupuis,"('Céline Berti', 'Olivier Bureau', 'Mickaël Collart', 'Raphaël Miraoui')",5.2
Rhino,2012,tt2244682,Patrick Rea,"('Malcolm Goodwin', 'Keith Loneker', 'Alicia Cabrera', 'Lindsay Benner')",7.7
Men with Arms,2012,tt2413396,Joey Fishman,"('Gabriel Lyons Loeb', 'Matt Spevack', 'Benjamin Leasure', 'Daniel Martin Berkey', 'Helyn Messenger', 'Michael Jefferson')",8.2
12 Dogs of Christmas: Great Puppy Rescue,2012,tt2325491,Kieth Merrill,"('Sean Patrick Flanery', 'Danielle C. Ryan', 'Skyler Holman', 'Alisha Mullally')",5.1
The Depraved,2011,tt1642665,Andy Fetscher,"('Nathalie Kelley', 'Nick Eversman', 'Klaus Stiglmeier', 'Max Riemelt')",5.2
The Stevie Wondershow,2009,tt1290120,Mike Pasley,"('Beau Batterson', 'Brandon Batterson', 'Jason Brumley', 'Jason Buckner')",8.6
A Day in the Life,2009,tt0810821,Sticky Fingaz,"(""Alvin 'Porky' Holland"", 'Bokeem Woodbine', 'Chris Fleming', 'Clarence Williams III')",5.2
Anything Goes,2012,tt1773285,Bruno Marino,"('Sean Kaufmann', 'Vanessa Broze', 'Saffron Cassaday', 'Andrew Martin Priestman')",5.7
Sideways,2009,tt1236373,Cellin Gluck,"('Fumiyo Kohinata', 'Katsuhisa Namase', 'Rinko Kikuchi', 'Kyôka Suzuki')",5.6
Split Second,2012,tt2467370,Timothy Fontaine,"('Todd Anthony', 'Neil Carr', 'George Pendill', 'Tiffany Yancey')",8.6
